FID  BirthYear MumID
1 67 1987 205
1 86 1989 415
1 252 1992 415
1 66 1986 416
1 71 1987 416
1 70 1987 416
1 59 1986 567
1 155 1991 567
1 122 1990 574
1 275 1993 577
1 131 1991 577
1 132 1991 577
1 54 1989 577
1 208 1992 577
1 276 1993 577
1 415 1994 747
1 198 1991 751
1 63 1986 751
1 65 1986 752
1 76 1987 753
1 137 1991 755
1 40 1990 755
1 81 1989 755
1 84 1989 906
1 69 1987 906
1 156 1991 906
1 157 1991 906
1 226 1992 910
1 82 1989 910
1 96 1990 910
1 162 1991 910
1 112 1990 1072
1 312 1993 1072
1 224 1992 1072
1 423 1994 1072
1 62 1986 1072
1 93 1989 1072
1 289 1993 1073
1 80 1989 1073
1 172 1991 1073
1 38 1992 1073
1 214 1992 1073
1 72 1987 1076
1 61 1986 1076
1 41 1989 1078
1 192 1991 1079
1 351 1993 1079
1 91 1989 1079
1 350 1993 1079
1 459 1994 1079
1 42 1992 1080
1 60 1986 1080
1 92 1989 1080
1 75 1987 1081
1 74 1987 1081
1 246 1992 1089
1 153 1991 1090
1 89 1989 1090
1 152 1991 1090
1 168 1991 1095
1 169 1991 1095
1 140 1991 1097
1 210 1992 1097
1 78 1988 1097
1 260 1993 1098
1 146 1991 1098
1 94 1989 1098
1 55 1990 1098
1 127 1991 1103
1 272 1993 1103
1 273 1993 1103
1 251 1992 1226
1 87 1989 1226
1 209 1992 1242
1 329 1993 1242
1 330 1993 1242
1 464 1994 1242
1 68 1987 1243
1 103 1990 1244
1 35 1992 1244
1 445 1994 1244
1 90 1989 1244
1 265 1993 1246
1 79 1989 1246
1 266 1993 1246
1 238 1992 1246
1 239 1992 1246
1 194 1991 1252
1 405 1994 1255
1 227 1992 1255
1 606 1996 1255
1 173 1991 1255
1 64 1986 1256
1 369 1994 1256
1 217 1992 1256
1 298 1993 1256
1 51 1989 1256
1 213 1992 1259
1 303 1993 1259
1 402 1994 1259
1 46 1991 1259
1 43 1989 1260
1 334 1993 1262
1 47 1990 1262
1 175 1991 1262
1 85 1989 1262
1 335 1993 1262
1 178 1991 1263
1 364 1994 1264
1 129 1991 1264
1 419 1994 1552
1 287 1993 1552
1 286 1993 1552
1 218 1992 1552
1 88 1989 1553
1 233 1992 1553
1 344 1993 1554
1 110 1990 1554
1 345 1993 1554
1 109 1990 1554
1 73 1987 1597
1 77 1987 1631
1 97 1990 1633
1 519 1995 1649
1 432 1994 1649
1 111 1990 1649
1 188 1991 1649
1 353 1993 1649
1 431 1994 1649
1 700 1997 1649
1 449 1994 1660
1 179 1991 1660
1 248 1992 1660
1 326 1993 1660
1 327 1993 1660
1 284 1993 1662
1 52 1989 1662
1 223 1992 1662
1 101 1990 1662
1 316 1993 1663
1 315 1993 1663
1 230 1992 1663
1 740 1997 1663
1 429 1994 1663
1 189 1991 1663
1 215 1992 1664
1 159 1991 1664
1 505 1995 1664
1 244 1992 1664
1 288 1993 1664
1 546 1996 1664
1 393 1994 1664
1 506 1995 1664
1 158 1991 1664
1 508 1995 1665
1 328 1993 1665
1 154 1991 1665
1 426 1994 1665
1 225 1992 1665
1 724 1997 1666
1 336 1993 1666
1 278 1993 1741
1 374 1994 1741
1 206 1992 1741
1 277 1993 1741
1 647 1997 1741
1 485 1995 1741
1 56 1991 1741
1 646 1997 1741
1 100 1990 1741
1 400 1994 1757
1 317 1993 1757
