FID  BirthYear
1 1047 2014
1 1048 2012
1 1049 2013
1 1050 2013
1 1051 2011
1 1052 2007
1 1053 2015
1 1054 2015
1 95 1983
1 118 1983
1 119 1983
1 91 1983
1 120 1983
1 121 1983
1 122 1983
1 123 1983
1 124 1983
1 84 1983
1 125 1983
1 80 1983
1 126 1983
1 127 1983
1 128 1983
1 129 1983
1 1055 2012
1 1056 2014
1 130 1984
1 1057 2017
1 131 1984
1 132 1984
1 133 1984
1 134 1984
1 135 1984
1 70 1984
1 65 1984
1 136 1984
1 137 1984
1 60 1984
1 138 1984
1 139 1984
1 140 1984
1 141 1984
1 142 1985
1 143 1985
1 144 1985
1 145 1986
1 146 1986
1 147 1986
1 148 1986
1 149 1986
1 150 1986
1 151 1986
1 152 1986
1 153 1986
1 154 1986
1 155 1986
1 156 1986
1 157 1986
1 158 1986
1 159 1986
1 160 1986
1 161 1986
1 162 1986
1 163 1986
1 72 1986
1 164 1986
1 165 1986
1 92 1986
1 166 1986
1 167 1986
1 168 1986
1 169 1987
1 170 1987
1 171 1987
1 172 1987
1 173 1987
1 174 1987
1 175 1987
1 176 1987
1 177 1987
1 178 1987
1 52 1987
1 47 1987
1 46 1987
1 179 1987
1 180 1987
1 181 1987
1 182 1987
1 183 1987
1 53 1987
1 184 1987
1 185 1988
1 97 1977
1 186 1988
1 187 1988
1 188 1988
1 87 1988
1 189 1988
1 190 1988
1 191 1988
1 192 1988
1 193 1988
1 83 1988
1 194 1988
1 195 1989
1 196 1989
1 79 1989
1 197 1989
1 198 1989
1 199 1989
1 61 1989
1 200 1989
1 201 1989
1 202 1989
1 203 1989
1 204 1989
1 205 1989
1 206 1989
1 207 1989
1 208 1989
1 209 1989
1 210 1989
1 211 1989
1 212 1989
1 74 1989
1 213 1989
1 214 1989
1 215 1989
1 62 1989
1 57 1989
1 216 1989
1 71 1989
1 217 1989
1 218 1989
1 219 1989
1 220 1989
1 76 1989
1 48 1989
1 221 1989
1 222 1989
1 223 1990
1 224 1990
1 225 1990
1 226 1990
1 227 1990
1 228 1990
1 229 1990
1 88 1990
1 230 1990
1 231 1990
1 232 1990
1 233 1990
1 69 1990
1 234 1990
1 235 1990
1 236 1990
1 237 1990
1 238 1990
1 239 1990
1 240 1990
1 241 1990
1 242 1990
1 77 1990
1 243 1990
1 244 1990
1 245 1990
1 246 1990
1 247 1990
1 248 1990
1 249 1990
1 250 1990
1 251 1990
1 56 1990
1 252 1990
1 253 1990
1 254 1990
1 255 1990
1 256 1990
1 51 1990
1 45 1990
1 257 1990
1 258 1990
1 259 1990
1 260 1990
1 261 1990
1 262 1990
1 263 1990
1 264 1990
1 265 1990
1 266 1990
1 267 1991
1 268 1991
1 269 1991
1 270 1991
1 271 1991
1 272 1991
1 273 1991
1 274 1991
1 275 1991
1 85 1991
1 67 1991
1 276 1991
1 277 1991
1 278 1991
1 279 1991
1 63 1991
1 280 1991
1 281 1991
1 282 1991
1 283 1991
1 284 1991
1 285 1991
1 286 1991
1 287 1991
1 288 1991
1 289 1991
1 290 1991
1 291 1991
1 58 1991
1 292 1991
1 293 1991
1 294 1992
1 295 1992
1 296 1992
1 297 1992
1 298 1992
1 299 1992
1 300 1992
1 301 1992
1 302 1992
1 303 1992
1 304 1992
1 305 1992
1 306 1992
1 41 1992
1 307 1992
1 308 1992
1 309 1992
1 54 1992
1 310 1992
1 311 1992
1 312 1992
1 313 1992
1 314 1992
1 315 1992
1 316 1992
1 317 1992
1 318 1992
1 319 1992
1 320 1992
1 321 1992
1 35 1992
1 322 1992
1 323 1992
1 324 1992
1 325 1992
1 326 1992
1 327 1992
1 328 1992
1 329 1992
1 330 1992
1 81 1992
1 331 1992
1 332 1992
1 333 1992
1 334 1992
1 335 1992
1 336 1992
1 31 1992
1 337 1992
1 338 1992
1 82 1992
1 339 1992
1 340 1993
1 341 1993
1 78 1993
1 342 1993
1 343 1993
1 344 1993
1 345 1993
1 346 1993
1 29 1993
1 347 1993
1 348 1993
1 349 1993
1 350 1993
1 351 1993
1 352 1993
1 353 1993
1 354 1993
1 355 1993
1 356 1993
1 357 1993
1 358 1993
1 359 1993
1 360 1993
1 361 1993
1 362 1993
1 73 1993
1 363 1993
1 24 1993
1 68 1993
1 364 1993
1 365 1993
1 366 1993
1 367 1993
1 368 1993
1 369 1993
1 370 1993
1 371 1993
1 64 1993
1 372 1994
1 373 1994
1 98 1978
1 374 1994
1 375 1994
1 10 1994
1 376 1994
1 377 1994
1 378 1994
1 5 1994
1 379 1994
1 380 1994
1 381 1994
1 382 1995
1 383 1995
1 2 1995
1 384 1995
1 385 1995
1 386 1995
1 387 1995
1 388 1995
1 59 1995
1 389 1995
1 390 1995
1 391 1995
1 392 1995
1 393 1995
1 394 1995
1 395 1995
1 396 1995
1 397 1995
1 398 1995
1 399 1995
1 400 1995
1 55 1995
1 401 1995
1 402 1995
1 403 1995
1 404 1995
