FID  CapYear MumID
1 1945 2014 8800
1 1946 2014 7692
1 1947 2014 7486
1 1948 2014 9023
1 1949 2015 8358
1 1950 2015 7205
1 1951 2015 6690
1 1952 2015 6408
1 1953 2015 7108
1 1954 2015 7109
1 1955 2015 7185
1 1956 2015 7185
1 1957 2015 6666
1 1958 2015 7560
1 1959 2015 6625
1 1960 2015 8714
1 1961 2015 8731
1 1962 2015 10451
1 1963 2015 7172
1 1964 2015 7576
1 1965 2015 8798
1 1966 2015 6118
1 1967 2015 8240
1 1968 2015 6644
1 1969 2015 8312
1 1970 2015 7262
1 1971 2015 8716
1 1972 2015 7472
1 1973 2015 8730
1 1974 2015 8751
1 1975 2015 6678
1 1976 2015 6866
1 1977 2015 6937
1 1978 2015 7230
1 1979 2015 7230
1 1980 2015 8758
1 1981 2015 10449
1 1982 2015 7476
1 1983 2015 7241
1 1984 2015 8265
1 1985 2015 8265
1 1986 2015 7267
1 1987 2015 7245
1 1988 2015 7131
1 1989 2015 7131
1 1990 2015 8762
1 1991 2015 9119
1 1992 2015 6930
1 1993 2015 6724
1 1994 2015 6958
1 1995 2015 8734
1 1996 2015 9169
1 1997 2015 7593
1 1998 2015 6827
1 1999 2015 6827
1 2000 2015 8258
1 2001 2015 9212
1 2002 2015 6938
1 2003 2015 6683
1 2004 2015 8790
1 2005 2015 6851
1 2006 2015 8794
1 2007 2015 6929
1 2008 2015 8974
1 2009 2015 8811
1 2010 2015 9036
1 2011 2015 9023
1 2012 2015 6679
1 2013 2015 7043
1 2014 2015 7157
1 2015 2015 6945
1 2016 2015 6945
1 2017 2015 7215
1 2018 2015 7115
1 2019 2015 7053
1 2020 2015 7575
1 2021 2015 8804
1 2022 2015 6770
1 2023 2015 5490
1 2024 2015 7542
1 2025 2015 8812
1 2026 2015 6900
1 2027 2015 9240
1 2028 2015 10450
1 2029 2015 6969
1 2030 2015 6969
1 2031 2015 8965
1 2032 2015 8327
1 2033 2015 9211
1 2034 2015 6726
1 2035 2015 8506
1 2036 2015 6663
1 2037 2015 6916
1 2038 2015 7206
1 2039 2015 6948
1 2040 2015 7163
1 2041 2015 6962
1 2042 2015 6682
1 2043 2015 6967
1 2044 2015 7692
1 2045 2015 6348
1 2046 2016 8958
1 2047 2016 6690
1 2048 2016 8734
1 2049 2016 8780
1 2050 2016 9093
1 2051 2016 8811
1 2052 2016 8729
1 2053 2016 9246
1 2054 2016 9207
1 2055 2016 10451
1 2056 2016 8759
1 2057 2016 7241
1 2058 2016 8730
1 2059 2016 8731
1 2060 2016 7574
1 2061 2016 8718
1 2062 2016 6777
1 2063 2016 8240
1 2064 2016 8751
1 2065 2016 7172
1 2066 2016 8715
1 2067 2016 9086
1 2068 2016 9242
1 2069 2016 7560
1 2070 2016 7576
1 2071 2016 7576
1 2072 2016 7476
1 2073 2016 9214
1 2074 2016 6930
1 2075 2016 8265
1 2076 2016 6644
1 2077 2016 8758
1 2078 2016 6827
1 2079 2016 6866
1 2080 2016 8756
1 2081 2016 9119
1 2082 2016 6892
1 2083 2016 8965
1 2084 2016 8510
1 2085 2016 7143
1 2086 2016 9212
1 2087 2016 8790
1 2088 2016 7472
1 2089 2016 9805
1 2090 2016 6982
1 2091 2016 8749
1 2092 2016 8783
1 2093 2016 9258
1 2094 2016 7185
1 2095 2016 7185
1 2096 2016 7575
1 2097 2016 9240
1 2098 2016 9169
1 2099 2016 8720
1 2100 2016 9841
1 2101 2016 9769
1 2102 2016 8712
1 2103 2016 9083
1 2104 2016 11077
1 2105 2016 8725
1 2106 2016 9208
1 2107 2016 6945
1 2108 2016 7486
1 2109 2016 7542
1 2110 2016 8258
1 2111 2016 8744
1 2112 2016 6851
1 2113 2016 7228
1 2114 2016 6938
1 2115 2016 7262
1 2116 2016 10448
1 2117 2016 8812
1 2118 2016 9074
1 2119 2016 7454
1 2120 2016 6969
1 2121 2016 6679
1 2122 2016 7230
1 2123 2016 6348
1 2124 2016 6967
1 2125 2016 7227
1 2126 2016 9023
1 2127 2016 9165
1 2128 2017 7262
1 2129 2017 9759
1 2130 2017 9075
