FID  BirthYear MumID
1 59 1986 577
1 60 1986 1289
1 61 1986 425
1 58 1986 567
1 62 1987 420
1 63 1987 205
1 64 1987 557
1 65 1987 424
1 66 1987 1246
1 67 1987 1101
1 68 1987 418
1 50 1987 1554
1 69 1987 1243
1 70 1987 1080
1 71 1987 1080
1 72 1987 1589
1 73 1987 1226
1 74 1987 1649
1 75 1987 906
1 76 1987 1259
1 77 1987 1090
1 78 1987 12
1 79 1987 1263
1 80 1987 1089
1 81 1987 1094
1 82 1987 5
1 83 1987 36
1 84 1987 573
1 85 1987 416
1 86 1987 416
1 87 1987 560
1 88 1987 1076
1 89 1987 1597
1 90 1987 1639
1 91 1987 1623
1 92 1987 1081
1 93 1987 1081
1 94 1987 1622
1 95 1987 1244
1 96 1987 753
1 97 1987 1288
1 98 1987 1082
1 99 1987 1631
1 100 1987 567
1 101 1987 1605
1 102 1987 1251
1 103 1987 560
1 104 1987 1583
1 105 1987 415
1 106 1987 899
1 107 1987 425
1 37 1987 426
1 35 1987 1072
1 108 1987 1258
1 109 1987 1109
1 110 1987 752
1 111 1987 1260
1 112 1987 1082
1 38 1987 1079
1 113 1987 19
1 114 1988 1089
1 41 1988 1072
1 115 1988 899
1 116 1988 904
1 54 1988 1095
1 117 1988 1246
1 118 1988 747
1 119 1988 905
1 120 1988 1554
1 121 1988 29
1 122 1989 1073
1 49 1989 577
1 123 1989 1887
1 124 1989 1082
1 125 1989 1109
1 126 1989 1251
1 127 1989 1079
1 128 1989 1082
1 129 1989 1586
1 130 1989 1072
1 131 1990 1741
1 132 1990 1094
1 133 1990 1662
1 134 1990 1080
1 135 1990 906
1 136 1990 1259
1 55 1990 1664
1 137 1990 1664
1 138 1990 29
1 139 1990 1109
1 140 1990 1082
1 141 1990 1821
1 142 1990 1255
1 143 1990 1079
1 144 1990 2053
1 145 1990 1877
1 146 1990 2175
1 147 1990 2120
1 148 1990 1251
1 149 1990 2169
1 150 1990 749
1 151 1990 2171
1 152 1990 577
1 153 1990 1225
1 154 1990 1243
1 155 1990 2067
1 156 1990 2179
1 53 1990 21
1 157 1990 1083
1 47 1990 1660
1 158 1990 2105
1 159 1990 36
1 160 1990 29
1 161 1990 1077
1 162 1990 1078
1 163 1990 1769
1 164 1990 2164
1 165 1990 2178
1 166 1990 2163
1 167 1990 1251
1 168 1990 1082
1 169 1990 1891
1 170 1990 1877
1 36 1990 755
1 171 1990 2214
1 172 1990 1252
1 173 1990 2167
1 174 1990 1757
1 175 1990 1252
1 176 1990 1784
1 177 1990 2073
1 178 1990 1880
1 179 1991 1835
1 180 1991 2245
1 181 1991 425
1 182 1991 2176
1 183 1991 2165
1 184 1991 904
1 185 1991 577
1 186 1991 577
1 187 1991 2163
1 188 1991 1288
1 189 1991 2273
1 190 1991 755
1 191 1991 2066
1 192 1991 2363
1 193 1991 1097
1 194 1991 1825
1 195 1991 1825
1 196 1991 1899
1 197 1991 1899
1 198 1991 2143
1 199 1991 1098
1 200 1991 2291
1 201 1991 1101
1 202 1991 1101
1 203 1991 1242
1 204 1991 1242
1 205 1991 2164
1 206 1991 2164
1 207 1991 2341
1 208 1991 2178
1 209 1991 2172
1 51 1991 1741
1 45 1991 1259
1 210 1991 1090
1 211 1991 1090
1 212 1991 567
1 213 1991 906
1 214 1991 906
1 215 1991 1664
1 216 1991 1664
1 217 1991 1757
1 218 1991 1757
1 219 1991 1887
1 220 1991 1887
