FID  BirthYear
1 977 2014
1 978 2012
1 979 2013
1 980 2013
1 981 2011
1 982 2007
1 983 2015
1 984 2015
1 88 1983
1 97 1983
1 98 1983
1 99 1983
1 100 1983
1 101 1983
1 102 1983
1 79 1983
1 75 1983
1 103 1983
1 104 1983
1 985 2012
1 986 2014
1 987 2017
1 105 1984
1 106 1984
1 107 1984
1 108 1984
1 109 1984
1 65 1984
1 110 1984
1 111 1984
1 58 1984
1 112 1984
1 113 1984
1 114 1984
1 115 1984
1 116 1985
1 117 1985
1 67 1986
1 118 1986
1 119 1986
1 85 1986
1 120 1986
1 121 1987
1 122 1987
1 123 1987
1 124 1987
1 125 1987
1 126 1987
1 127 1987
1 128 1987
1 129 1987
1 130 1987
1 50 1987
1 45 1987
1 44 1987
1 131 1987
1 132 1987
1 133 1987
1 134 1987
1 51 1987
1 135 1987
1 136 1988
1 137 1988
1 138 1988
1 82 1988
1 139 1988
1 140 1988
1 141 1988
1 142 1988
1 143 1988
1 78 1988
1 144 1988
1 145 1989
1 146 1989
1 74 1989
1 147 1989
1 148 1989
1 59 1989
1 149 1989
1 150 1989
1 151 1989
1 152 1989
1 153 1989
1 154 1989
1 155 1989
1 156 1989
1 157 1989
1 158 1989
1 159 1989
1 160 1989
1 69 1989
1 161 1989
1 162 1989
1 55 1989
1 163 1989
1 66 1989
1 164 1989
1 165 1989
1 166 1989
1 167 1989
1 71 1989
1 46 1989
1 168 1989
1 169 1989
1 170 1990
1 171 1990
1 172 1990
1 173 1990
1 174 1990
1 175 1990
1 176 1990
1 177 1990
1 178 1990
1 179 1990
1 180 1990
1 64 1990
1 181 1990
1 182 1990
1 183 1990
1 184 1990
1 185 1990
1 186 1990
1 187 1990
1 188 1990
1 189 1990
1 72 1990
1 190 1990
1 191 1990
1 192 1990
1 193 1990
1 194 1990
1 195 1990
1 196 1990
1 197 1990
1 198 1990
1 199 1990
1 54 1990
1 200 1990
1 201 1990
1 202 1990
1 203 1990
1 204 1990
1 49 1990
1 43 1990
1 205 1990
1 206 1990
1 207 1990
1 208 1990
1 209 1990
1 210 1990
1 211 1990
1 212 1990
1 213 1990
1 214 1991
1 215 1991
1 216 1991
1 217 1991
1 218 1991
1 219 1991
1 220 1991
1 221 1991
1 80 1991
1 62 1991
1 222 1991
1 223 1991
1 224 1991
1 225 1991
1 226 1991
1 227 1991
1 228 1991
1 229 1991
1 230 1991
1 231 1991
1 232 1991
1 233 1991
1 234 1991
1 235 1991
1 236 1991
1 237 1991
1 56 1991
1 238 1991
1 239 1991
1 240 1992
1 241 1992
1 242 1992
1 243 1992
1 244 1992
1 245 1992
1 246 1992
1 247 1992
1 248 1992
1 249 1992
1 250 1992
1 251 1992
1 252 1992
1 39 1992
1 253 1992
1 254 1992
1 255 1992
1 52 1992
1 256 1992
1 257 1992
1 258 1992
1 259 1992
1 260 1992
1 261 1992
1 262 1992
1 263 1992
1 264 1992
1 265 1992
1 266 1992
1 267 1992
1 33 1992
1 268 1992
1 269 1992
1 270 1992
1 271 1992
1 272 1992
1 273 1992
1 274 1992
1 275 1992
1 76 1992
1 276 1992
1 277 1992
1 278 1992
1 279 1992
1 280 1992
1 30 1992
1 281 1992
1 282 1992
1 77 1992
1 283 1992
1 284 1993
1 285 1993
1 73 1993
1 286 1993
1 287 1993
1 288 1993
1 289 1993
1 290 1993
1 28 1993
1 291 1993
1 292 1993
1 293 1993
1 294 1993
1 295 1993
1 296 1993
1 297 1993
1 298 1993
1 299 1993
1 300 1993
1 301 1993
1 302 1993
1 303 1993
1 304 1993
1 305 1993
1 306 1993
1 68 1993
1 307 1993
1 24 1993
1 63 1993
1 308 1993
1 309 1993
1 310 1993
1 311 1993
1 312 1993
1 313 1993
1 314 1993
1 315 1993
1 60 1993
1 316 1994
1 317 1994
1 318 1994
1 319 1994
1 10 1994
1 320 1994
1 321 1994
1 322 1994
1 5 1994
1 323 1994
1 324 1994
1 325 1994
1 326 1995
1 2 1995
1 327 1995
1 328 1995
1 329 1995
1 330 1995
1 57 1995
1 331 1995
1 332 1995
1 333 1995
1 334 1995
1 335 1995
1 336 1995
1 337 1995
1 338 1995
1 339 1995
1 340 1995
1 341 1995
1 342 1995
1 53 1995
1 343 1995
1 344 1995
1 345 1995
1 346 1995
1 347 1995
1 38 1995
1 348 1995
1 349 1995
1 350 1995
1 351 1995
1 352 1995
1 353 1995
1 354 1995
1 355 1995
1 356 1995
1 357 1995
1 358 1995
1 359 1995
1 360 1995
1 361 1995
1 362 1995
1 363 1995
1 364 1995
1 86 1995
1 365 1995
1 366 1995
1 367 1995
1 368 1995
1 48 1995
1 369 1995
1 370 1995
1 371 1995
1 372 1995
1 373 1995
1 83 1995
1 374 1995
1 375 1995
1 376 1995
1 377 1995
1 378 1995
1 379 1995
1 380 1995
1 381 1996
1 382 1996
1 81 1996
1 383 1996
1 384 1996
1 385 1996
1 386 1996
1 387 1996
1 388 1996
1 389 1996
1 390 1996
1 391 1996
1 392 1996
1 393 1996
1 394 1996
1 395 1996
1 396 1996
1 397 1996
1 398 1996
1 399 1996
1 400 1996
1 401 1996
1 402 1996
1 403 1996
1 42 1996
1 404 1996
1 405 1996
1 406 1996
1 87 1996
1 407 1996
1 408 1996
1 409 1996
1 410 1996
1 411 1996
1 412 1996
1 84 1996
1 413 1996
1 414 1996
1 415 1996
1 416 1996
1 417 1996
1 418 1996
1 419 1997
1 420 1997
1 421 1997
1 422 1997
1 423 1997
1 424 1997
1 15 1997
1 425 1997
1 426 1997
1 427 1997
1 9 1997
1 428 1997
1 429 1997
1 4 1997
1 430 1998
1 431 1998
1 432 1998
1 433 1998
1 434 1998
1 435 1998
1 436 1998
1 437 1998
1 41 1998
1 438 1998
1 439 1997
1 440 1998
1 441 1998
1 442 1993
1 37 1996
1 443 1998
1 90 1979
1 444 1999
1 445 1999
1 446 1999
1 447 1999
1 448 1999
1 449 1999
1 450 1999
1 32 1999
1 451 1999
1 29 1999
1 452 1999
1 453 1999
1 454 1999
1 455 1999
1 456 1999
1 457 1999
1 458 1999
1 459 1999
1 460 1999
1 461 1999
1 462 1999
1 463 1999
1 464 1999
1 465 1999
1 466 1999
1 467 1999
1 468 1999
1 469 1999
1 470 1999
1 471 1999
1 472 1999
1 473 1999
1 474 1999
1 475 1999
1 476 1999
1 477 1999
1 478 1999
1 479 1999
1 480 1999
