FID  BirthYear MumID
1 23 2001 -2651
1 24 2001 -2673
1 25 2001 -2688
1 26 2001 -2756
1 27 2001 4321
1 9 2001 -2727
1 28 2001 -2694
1 10 2001 -2755
1 11 2001 4106
1 12 2001 -2723
1 13 2001 4503
1 14 2001 -2696
1 15 2001 -2711
1 16 2001 7093
1 17 2001 -2717
1 18 2001 -2699
1 19 2001 -2753
1 20 2001 3662
1 8 2001 -2754
1 21 2001 7084
1 22 2001 -2711
1 1727 2014 8800
1 1728 2014 7692
1 1729 2014 7245
1 1730 2014 9023
1 1731 2014 7159
1 1732 2014 5648
1 1733 2014 7695
1 1734 2014 -2700
1 1735 2014 11388
1 1736 2015 8358
1 1737 2015 7194
1 1738 2015 7185
1 1739 2015 7185
1 1740 2015 8729
1 1741 2015 6666
1 1742 2015 7560
1 1743 2015 6625
1 1744 2015 8714
1 1745 2015 8731
1 1746 2015 6354
1 1747 2015 7576
1 1748 2015 6118
1 1749 2015 8240
1 1750 2015 6927
1 1751 2015 6455
1 1752 2015 8715
1 1753 2015 8716
1 1754 2015 8717
1 1755 2015 7143
1 1756 2015 8751
1 1757 2015 6678
1 1758 2015 6866
1 1759 2015 6937
1 1760 2015 7230
1 1761 2015 7230
1 1762 2015 10449
1 1763 2015 7227
1 1764 2015 7476
1 1765 2015 9093
1 1766 2015 9246
1 1767 2015 7245
1 1768 2015 7131
1 1769 2015 8958
1 1770 2015 8958
1 1771 2015 8785
1 1772 2015 6136
1 1773 2015 6724
1 1774 2015 6958
1 1775 2015 8734
1 1776 2015 9169
1 1777 2015 8510
1 1778 2015 8510
1 1779 2015 7710
1 1780 2015 7593
1 1781 2015 6827
1 1782 2015 6827
1 1783 2015 7228
1 1784 2015 8258
1 1785 2015 8712
1 1786 2015 6683
1 1787 2015 8790
1 1788 2015 8759
1 1789 2015 7455
1 1790 2015 8749
1 1791 2015 6851
1 1792 2015 8794
1 1793 2015 6929
1 1794 2015 9023
1 1795 2015 8807
1 1796 2015 9214
1 1797 2015 6945
1 1798 2015 6945
1 1799 2015 7215
1 1800 2015 9016
1 1801 2015 7575
1 1802 2015 8804
1 1803 2015 6776
1 1804 2015 7542
1 1805 2015 8812
1 1806 2015 6900
1 1807 2015 9075
1 1808 2015 8740
1 1809 2015 9240
1 1810 2015 7056
1 1811 2015 10116
1 1812 2015 10450
1 1813 2015 6969
1 1814 2015 7046
1 1815 2015 8506
1 1816 2015 6663
1 1817 2015 6916
1 1818 2015 7206
1 1819 2015 9074
1 1820 2015 -2660
1 1821 2015 6682
1 1822 2015 7692
1 1823 2015 6406
1 1824 2015 6943
1 1825 2015 8783
1 1826 2015 10448
1 1827 2015 -2652
1 1828 2016 9257
1 1829 2016 8811
1  2016 6354
1 1830 2016 9207
1 1831 2016 7241
1 1832 2016 8731
1 1833 2016 7574
1 1834 2016 7056
1 1835 2016 8718
1 1836 2016 6777
1 1837 2016 6717
1 1838 2016 8800
1 1839 2016 9242
1 1840 2016 8798
1 1841 2016 7576
1 1842 2016 7476
1 1843 2016 9214
1 1844 2016 8762
1 1845 2016 10112
1 1846 2016 8265
1 1847 2016 6827
1 1848 2016 9211
1 1849 2016 7109
1 1850 2016 8756
1 1851 2016 7144
1 1852 2016 7143
1 1853 2016 9212
1 1854 2016 8790
1 1855 2016 9805
1 1856 2016 9258
1 1857 2016 7185
1 1858 2016 7131
1 1859 2016 6943
1 1860 2016 9169
1 1861 2016 9841
1 1862 2016 9769
1 1863 2016 8725
1 1864 2016 9208
1 1865 2016 8327
1 1866 2016 6851
1 1867 2016 8766
1 1868 2016 7228
1 1869 2016 7458
1 1870 2016 6663
1 1871 2016 6938
1 1872 2016 10448
1 1873 2016 9074
1 1874 2016 9768
1 1875 2016 6679
1 1876 2016 6348
1 1877 2016 6962
1 1878 2016 6962
1 1879 2016 9023
1 1880 2016 11806
1 1881 2016 6927
1 1882 2016 7565
1 1883 2016 8807
1 1884 2016 9060
1 1885 2016 10449
1 1886 2017 7262
1 1887 2017 9759
1 1888 2017 9075
1 1889 2017 8798
1 1890 2017 7241
1 1891 2017 6644
1 1892 2017 8721
1 1893 2017 8734
1 1894 2017 8714
1 1895 2017 9258
1 1896 2017 8787
1 1897 2017 7700
1 1898 2017 7560
1 1899 2017 8730
1 1900 2017 10180
1 1901 2017 6827
1 1902 2017 8759
1 1903 2017 8718
1 1904 2017 8718
1 1905 2017 8729
1 1906 2017 9833
1 1907 2017 9793
1 1908 2017 10286
1 1909 2017 6892
1 1910 2017 8731
1 1911 2017 9165
1 1912 2017 8751
1 1913 2017 7205
1 1914 2017 7133
1 1915 2017 9251
1 1916 2017 8725
1 1917 2017 9214
1 1918 2017 6937
1 1919 2017 9769
1 1920 2017 6717
1 1921 2017 6717
1 1922 2017 6837
1 1923 2017 7143
1 1924 2017 9870
1 1925 2017 9216
1 1926 2017 7157
1 1927 2017 6348
1 1928 2017 7230
1 1929 2017 9827
1 1930 2017 7185
1 1931 2017 6851
1 1932 2017 10347
1 1933 2017 8762
1 1934 2017 7109
1 1935 2017 6938
1 1936 2017 8240
1 1937 2017 8240
1 1938 2017 9207
1 1939 2017 8749
1 1940 2017 9208
1 1941 2017 8740
1 1942 2017 7194
1 1943 2017 9086
1 1944 2017 6777
1 1945 2017 7131
1 1946 2017 9119
1 1947 2017 9119
1 1948 2017 6943
1 1949 2017 9211
1 1950 2017 9817
1 1951 2017 8785
1 1952 2017 8756
1 1953 2017 7476
1 1954 2017 8758
1 1955 2017 7576
1 1956 2017 10191
1 1957 2017 10231
1 1958 2017 6958
1 1959 2017 9036
1 1960 2017 9764
1 1961 2017 9169
1 1962 2017 6663
1 1963 2017 6945
1 1964 2017 8506
1 1965 2017 6930
1 1966 2017 8780
1 1967 2017 10448
1 1968 2017 7163
1 1969 2017 8783
1 1970 2017 8510
1 1971 2017 8510
1 1972 2017 9030
1 1973 2017 9074
1 1974 2017 7142
1 1975 2017 9029
1 1976 2017 9838
1 1977 2017 7144
1 1978 2017 9083
1 1979 2017 9016
1 1980 2017 7056
1 1981 2017 8473
1 1982 2017 5490
1 1983 2017 6679
1 1984 2017 6690
1 1985 2017 8258
1 1986 2017 8812
1 1987 2017 7252
1 1988 2017 8717
1 1989 2017 10251
1 1990 2017 7053
1 1991 2017 10190
1 1992 2017 8804
1 1993 2017 9895
1 1994 2017 7596
1 1995 2017 9212
1 1996 2017 7542
1 1997 2017 7692
1 1998 2017 9784
1 1999 2017 9834
1 2000 2017 9768
1 2001 2017 10443
1 2002 2017 9125
1 2003 2017 8327
1 2004 2017 8807
1 2005 2017 6967
1 2006 2017 11386
1 2007 2017 7472
1 2008 2017 9822
1 2009 2017 9904
1 2010 2017 7454
1 2011 2017 7043
1 2012 2017 11075
1 2013 2017 8744
1 2014 2017 6982
1 2015 2017 -2660
1 2016 2017 9845
1 2017 2017 8955
1 2018 2017 8358
1 2019 2017 11805
1 2020 2018 11076
1 2021 2018 10449
1 2022 2018 6837
