FID IID CapYear 
1 1655 1992 
1 1433 1991 
1 1623 1992 
1 1336 1991 
1 691 1988 
1 1923 1993 
1 1770 1992 
1 658 1988 
1 660 1988 
1 743 1988 
1 661 1988 
1 777 1988 
1 662 1988 
1 635 1988 
1 713 1988 
1 763 1988 
1 663 1988 
1 770 1988 
1 665 1988 
1 771 1988 
1 694 1988 
1 638 1988 
1 726 1988 
1 703 1988 
1 686 1988 
1 2449 1995 
1 1174 1990 
1 646 1988 
1 1699 1992 
1 1366 1991 
1 1664 1992 
1 1425 1991 
1 4426 2001 
1 2514 1995 
1 645 1988 
1 1100 1990 
1 2043 1993 
1 1787 1992 
1 1367 1991 
1 2435 1995 
1 2965 1997 
1 2437 1995 
1 1720 1992 
1 1031 1989 
1 1108 1990 
1 2504 1995 
1 1622 1992 
1 1385 1991 
1 1025 1989 
1 1365 1991 
1 1173 1990 
1 1482 1991 
1 2969 1997 
1 1099 1990 
1 1698 1992 
1 2697 1996 
1 2049 1993 
1 1218 1990 
1 1016 1989 
1 1502 1991 
1 1205 1990 
1 1193 1990 
1 1540 1991 
1 1039 1989 
1 1856 1993 
1 2387 1995 
1 1291 1991 
1 1718 1992 
1 2966 1997 
1 1270 1991 
1 1019 1989 
1 2967 1997 
1 1857 1993 
1 2378 1995 
1 1719 1992 
1 1048 1989 
1 1293 1991 
1 1111 1990 
1 2727 1996 
1 1786 1992 
1 1112 1990 
1 1023 1989 
1 2814 1996 
1 1756 1992 
1 1424 1991 
1 2968 1997 
1 2081 1993 
1 1127 1990 
1 1035 1989 
1 1423 1991 
1 1646 1992 
1 1022 1989 
1 1926 1993 
1 1875 1993 
1 1324 1991 
1 1757 1992 
1 1364 1991 
1 1041 1989 
1 1876 1993 
1 1487 1991 
1 1049 1989 
1 2892 1996 
1 1110 1990 
1 2970 1997 
1 1292 1991 
1 1988 1993 
1 1390 1991 
1 1703 1992 
1 1161 1990 
1 1644 1992 
1 1363 1991 
1 1696 1992 
1 2803 1996 
1 2053 1993 
1 1972 1993 
1 1676 1992 
1 3519 1998 
1 1472 1991 
1 3797 1999 
1 1126 1990 
1 1323 1991 
1 1191 1990 
1 2590 1996 
1 2460 1995 
1 1532 1991 
1 1383 1991 
